Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
250;375;10;0;0,6576123237609863;4,76837158203125e-07;0,2938525676727295;0;0;39;0,007295131683349609;is_undec(a0)
250;375;20;9;22,80517578125;2,384185791015625e-07;0,5698761940002441;0;16;56;0,00919198989868164;Unstable
100;150;10;22;0,12737178802490234;2,384185791015625e-07;0,08145499229431152;0;0;0;0,004111289978027344;is_in(a0)
200;300;30;22;;;;1;;91;0,009436607360839844;Unstable
150;225;40;15;19,260304927825928;4,76837158203125e-07;0,4372589588165283;0;26;9;0,008202791213989258;Unstable
50;75;10;10;0,05003929138183594;4,76837158203125e-07;0,03406524658203125;0;2;4;0,0026335716247558594;Unstable
250;375;40;3;;;;1;;100;0,011854887008666992;Unstable
250;375;20;22;2,902012586593628;2,384185791015625e-07;0,5627176761627197;0;4;2;0,008410930633544922;Unstable
100;150;30;6;3,137924909591675;4,76837158203125e-07;0,16821503639221191;0;48;44;0,005017518997192383;Unstable
50;75;20;7;0,08327221870422363;7,152557373046875e-07;0,0539548397064209;0;0;15;0,002883434295654297;is_out(a0)
100;150;20;16;2,4840924739837646;2,384185791015625e-07;0,13050150871276855;0;48;39;0,005335092544555664;Unstable
50;75;10;6;0,04822254180908203;2,384185791015625e-07;0,03424239158630371;0;0;0;0,0026769638061523438;is_undec(a0)
250;375;20;3;1,2716090679168701;4,76837158203125e-07;0,5728170871734619;0;0;0;0,009496212005615234;is_in(a0)
100;150;30;22;0,688119649887085;4,76837158203125e-07;0,1730639934539795;0;2;48;0,0054378509521484375;Unstable
100;150;20;23;0,2086317539215088;4,76837158203125e-07;0,13028550148010254;0;0;0;0,004784107208251953;is_in(a0)
100;150;40;13;1,356330394744873;4,76837158203125e-07;0,21568942070007324;0;0;21;0,005511283874511719;is_in(a0)
100;150;20;10;0,21960163116455078;4,76837158203125e-07;0,1303088665008545;0;0;1;0,004863739013671875;is_in(a0)
200;300;30;12;1,166172981262207;2,384185791015625e-07;0,5521528720855713;0;0;0;0,008600234985351562;is_in(a0)
50;75;40;7;0,7748658657073975;1,9073486328125e-06;0,08268952369689941;0;50;38;0,003871917724609375;Unstable
