Arguments;Attacks;PercentageIncomplete;Index;Runtime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
200;300;30;2;6,965534925460815;1,1605148315429688;0;16;94;0,014145135879516602;Unstable
200;300;30;3;7,139814615249634;1,2654438018798828;0;3;68;0,018105745315551758;Unstable
200;300;30;4;4,430340528488159;1,121610164642334;0;2;80;0,01429891586303711;Unstable
200;300;30;5;2,009826183319092;1,1006391048431396;0;0;0;0,012052774429321289;is_in(a0)
200;300;30;6;2,2220823764801025;1,3151216506958008;0;0;0;0,019946575164794922;is_in(a0)
200;300;30;7;7,1757683753967285;1,1233983039855957;0;16;78;0,019043684005737305;Unstable
200;300;30;8;2,3926970958709717;1,1304504871368408;0;0;0;0,012965202331542969;is_in(a0)
200;300;30;9;7,081705093383789;1,120412826538086;0;6;69;0,013959884643554688;Unstable
200;300;35;0;7,438962459564209;1,3183972835540771;0;4;93;0,016955852508544922;Unstable
200;300;35;1;3,9087464809417725;1,2943229675292969;0;0;1;0,015924930572509766;is_in(a0)
200;300;35;2;3,187441110610962;1,4840290546417236;0;0;122;0,016031503677368164;is_out(a0)
200;300;35;3;2,2113566398620605;1,2784008979797363;0;0;0;0,018521785736083984;is_in(a0)
200;300;35;4;7,6064293384552;1,506852388381958;0;7;114;0,016502857208251953;Unstable
200;300;35;5;7,517411231994629;1,3491334915161133;0;6;109;0,014960527420043945;Unstable
200;300;35;6;9,301763772964478;3,419140100479126;0;0;22;0,015958547592163086;Unstable
200;300;35;7;7,5689921379089355;1,5172924995422363;0;0;110;0,01795339584350586;Unstable
200;300;35;8;7,151382923126221;1,2742257118225098;0;4;4;0,016042709350585938;Unstable
200;300;35;9;7,245324611663818;1,3151640892028809;0;4;102;0,014467716217041016;Unstable
200;300;40;0;7,759519577026367;1,559842586517334;0;8;140;0,01772761344909668;Unstable
200;300;40;1;4,5435521602630615;1,6950647830963135;0;0;121;0,020943880081176758;is_in(a0)
200;300;40;2;3,273322582244873;1,8598580360412598;0;0;0;0,021941423416137695;is_out(a0)
200;300;40;3;8,064504861831665;1,7601065635681152;0;2;119;0,02589702606201172;Unstable
200;300;40;4;7,847779273986816;1,6879386901855469;0;14;111;0,015987634658813477;Unstable
200;300;40;5;8,041810989379883;1,816730260848999;0;2;115;0,019947528839111328;Unstable
200;300;40;6;3,0619454383850098;1,7713685035705566;0;0;0;0,017037153244018555;is_in(a0)
200;300;40;7;8,205888509750366;1,9005262851715088;0;2;1;0,020942211151123047;Unstable
200;300;40;8;8,285518884658813;1,9503602981567383;0;5;124;0,0180356502532959;Unstable
200;300;40;9;8,055893659591675;1,7458384037017822;0;3;2;0,017130374908447266;Unstable
200;300;5;0;0,4300808906555176;0,29500341415405273;0;0;0;0,009693145751953125;is_out(a0)
200;300;5;1;0,4261457920074463;0,2798738479614258;0;0;17;0,009022235870361328;is_in(a0)
200;300;5;2;0,45126819610595703;0,2930750846862793;0;0;17;0,010048389434814453;is_out(a0)
200;300;5;3;0,3943336009979248;0,2579500675201416;0;0;11;0,014960527420043945;is_out(a0)
200;300;5;4;0,4686577320098877;0,2852308750152588;0;0;11;0,011968851089477539;is_in(a0)
200;300;5;5;0,4338984489440918;0,28797054290771484;0;0;0;0,012336254119873047;is_in(a0)
200;300;5;6;0,4026315212249756;0,2727820873260498;0;0;0;0,010514497756958008;is_in(a0)
200;300;5;7;0,40813684463500977;0,2565751075744629;0;0;21;0,008076190948486328;is_out(a0)
200;300;5;8;0,5118319988250732;0,30129146575927734;0;0;17;0,010020732879638672;is_out(a0)
200;300;5;9;0,4673614501953125;0,3095276355743408;0;0;5;0,009976387023925781;is_out(a0)
200;400;10;0;1,942169189453125;1,3776774406433105;0;0;0;0,013962984085083008;is_in(a0)
200;400;10;1;6,394797325134277;0,9649994373321533;0;22;45;0,016111373901367188;Unstable
200;400;10;2;6,299048900604248;0,8967268466949463;0;14;46;0,01686406135559082;Unstable
200;400;10;3;1,330204963684082;0,8183004856109619;0;0;45;0,01878070831298828;is_out(a0)
200;400;10;4;1,5515377521514893;0,9739644527435303;0;0;0;0,013247966766357422;is_in(a0)
200;400;10;5;6,36643385887146;0,9867918491363525;0;20;50;0,0167696475982666;Unstable
200;400;10;6;4,664926052093506;0,9168555736541748;0;10;53;0,01627659797668457;Unstable
200;400;10;7;1,5946455001831055;1,0576701164245605;0;0;0;0,015755176544189453;is_in(a0)
200;400;10;8;1,8809583187103271;1,4318573474884033;0;0;42;0,016299724578857422;is_out(a0)
200;400;10;9;1,7985856533050537;1,0525012016296387;0;0;53;0,01647162437438965;is_in(a0)
200;400;15;0;2,327695608139038;1,7697021961212158;0;0;0;0,020944833755493164;is_in(a0)
200;400;15;1;2,5904762744903564;1,151862621307373;0;0;69;0,017289161682128906;is_out(a0)
200;400;15;2;6,824674129486084;1,1456866264343262;0;9;74;0,025622129440307617;Unstable
200;400;15;3;6,940357446670532;1,1953940391540527;0;6;69;0,01800704002380371;Unstable
200;400;15;4;4,573399543762207;1,2999780178070068;0;0;71;0,019946575164794922;is_out(a0)
200;400;15;5;6,967496871948242;1,2159204483032227;0;8;75;0,020097970962524414;Unstable
200;400;15;6;1,8563311100006104;1,1816163063049316;0;0;0;0,013960838317871094;is_in(a0)
200;400;15;7;5,975339651107788;1,3052613735198975;0;6;3;0,018011093139648438;Unstable
200;400;15;8;6,609750270843506;1,3839378356933594;0;0;77;0,018999814987182617;is_out(a0)
200;400;15;9;2,371253252029419;1,5356903076171875;0;0;59;0,015878915786743164;is_in(a0)
200;400;20;0;8,008416891098022;2,1782124042510986;0;2;98;0,021824121475219727;Unstable
200;400;20;1;8,49013876914978;2,3336758613586426;0;14;100;0,02296614646911621;Unstable
200;400;20;2;9,010737895965576;3,2132248878479004;0;0;95;0,027497291564941406;Unstable
200;400;20;3;7,230944633483887;4,23373818397522;0;0;79;0,025564193725585938;is_in(a0)
200;400;20;4;8,40778660774231;2,469569683074951;0;9;101;0,026561737060546875;Unstable
200;400;20;5;3,0256526470184326;2,1916964054107666;0;0;0;0,018341779708862305;is_in(a0)
200;400;20;6;10,334680080413818;9,143028497695923;0;0;0;0,01902174949645996;is_in(a0)
200;400;20;7;3,6292011737823486;2,4635677337646484;0;0;0;0,08738541603088379;is_in(a0)
200;400;20;8;8,655202150344849;2,7167301177978516;0;0;102;0,02308177947998047;is_out(a0)
200;400;20;9;8,354670524597168;2,2299964427948;0;2;91;0,02505350112915039;Unstable
200;400;25;0;5,200103998184204;2,6594035625457764;0;0;113;0,021589994430541992;is_out(a0)
200;400;25;1;8,00280213356018;2,5754427909851074;0;0;127;0,021767854690551758;is_out(a0)
200;400;25;2;3,9091484546661377;2,6889164447784424;0;0;0;0,026470661163330078;is_in(a0)
200;400;25;3;9,869282722473145;3,599263906478882;0;6;117;0,02224874496459961;Unstable
200;400;25;4;11,33184289932251;5,113836050033569;0;0;124;0,034871578216552734;Unstable
200;400;25;5;10,529809474945068;4,299809694290161;0;6;117;0,027598857879638672;Unstable
200;400;25;6;10,304142236709595;3,2188780307769775;0;7;123;0,023417234420776367;Unstable
200;400;25;7;5,778687000274658;4,518055200576782;0;0;0;0,026758909225463867;is_in(a0)
200;400;25;8;10,26370644569397;4,002671241760254;0;3;123;0,02408432960510254;Unstable
200;400;25;9;10,176512956619263;4,013524293899536;0;7;129;0,028942584991455078;Unstable
200;400;30;0;11,64999771118164;5,096803903579712;0;5;2;0,03561210632324219;Unstable
200;400;30;1;10,855369091033936;4,618099927902222;0;4;138;0,03700685501098633;Unstable
200;400;30;2;8,89474105834961;7,101153612136841;0;0;0;0,043210506439208984;is_in(a0)
200;400;30;3;11,861209869384766;5,322314739227295;0;0;136;0,038126230239868164;Unstable
200;400;30;4;7,02531099319458;5,246066570281982;0;0;0;0,04882097244262695;is_in(a0)
200;400;30;5;12,379555702209473;5,770326852798462;0;10;152;0,03453826904296875;Unstable
200;400;30;6;13,972739934921265;7,197697162628174;0;0;140;0,04806709289550781;Unstable
200;400;30;7;10,870820760726929;7,67579197883606;0;0;130;0,049893856048583984;is_out(a0)
