Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
200;300;10;22;0,20305299758911133;0,04066348075866699;0,0811307430267334;0;0;32;0,00657200813293457;is_out(a0)
15;22;20;24;0,012304067611694336;0,003054380416870117;0,0027501583099365234;0;2;1;0,0015561580657958984;Unstable
20;30;40;2;0,011265754699707031;0,003498077392578125;0,0022208690643310547;0;0;0;0,002358675003051758;is_in(a0)
15;22;10;11;0,015794754028320312;0,0031442642211914062;0,00579071044921875;0;0;3;0,001959562301635742;is_undec(a0)
20;30;10;16;0,016565322875976562;0,003620624542236328;0,006402254104614258;0;8;4;0,0017971992492675781;Unstable
100;150;40;3;0,018137693405151367;0,00839686393737793;0,0018463134765625;0;0;0;0,00518798828125;is_out(a0)
15;22;40;18;0,03167366981506348;0,0028998851776123047;0,013579368591308594;0;14;12;0,0019652843475341797;Unstable
20;30;20;6;0,020665884017944336;0,0034286975860595703;0,008859872817993164;0;2;6;0,002323150634765625;Unstable
25;37;10;18;0,013535737991333008;0,0036804676055908203;0,003283977508544922;0;4;2;0,002191305160522461;Unstable
200;300;20;16;0,7864518165588379;0,043802738189697266;0,11098432540893555;0;26;51;0,009393692016601562;Unstable
250;375;10;14;0,05880618095397949;0,048993587493896484;0,0017066001892089844;0;0;0;0,007298946380615234;is_in(a0)
25;37;40;8;0,02572464942932129;0,004571676254272461;0,012183666229248047;0;0;10;0,002222776412963867;is_in(a0)
50;75;10;17;0,033025264739990234;0,006735563278198242;0,015819787979125977;0;2;8;0,002346515655517578;Unstable
